date,year,month,quarter,day_of_week,region,category,product,channel,unit_price,units_sold,discount_pct,revenue,profit_margin,profit,returns_pct,net_revenue
2021-01-11,2021,1,1,0,West,Groceries,Cooking Oil,Wholesale,307.01,5,0.184,1252.6,0.299,374.53,0.011,1238.82
2021-01-12,2021,1,1,1,North,Home & Kitchen,Cookware Set,Online,2954.31,4,0.117,10434.62,0.333,3474.73,0.025,10173.75
2021-01-12,2021,1,1,1,East,Electronics,Camera,Retail Store,31307.69,6,0.04,180332.29,0.204,36787.79,0.036,173840.33
2021-01-12,2021,1,1,1,East,Home & Kitchen,Cookware Set,Online,4749.54,10,0.148,40466.08,0.182,7364.83,0.071,37592.99
2021-01-13,2021,1,1,2,North,Home & Kitchen,Mixer,Online,3456.19,4,0.148,11778.7,0.264,3109.58,0.018,11566.68
2021-01-13,2021,1,1,2,South,Clothing,Shoes,Wholesale,1217.19,4,0.173,4026.46,0.3,1207.94,0.031,3901.64
2021-01-14,2021,1,1,3,West,Electronics,Smartphone,Wholesale,27596.79,3,0.189,67142.99,0.313,21015.76,0.049,63852.98
2021-01-14,2021,1,1,3,West,Electronics,Laptop,Online,19585.66,5,0.099,88233.4,0.237,20911.32,0.078,81351.19
2021-01-14,2021,1,1,3,South,Home & Kitchen,Cookware Set,Online,3629.21,4,0.138,12513.52,0.34,4254.6,0.034,12088.06
2021-01-14,2021,1,1,3,East,Sports,Dumbbells,Retail Store,2085.53,8,0.026,16250.45,0.126,2047.56,0.011,16071.7
2021-01-14,2021,1,1,3,South,Home & Kitchen,Bedsheet,Retail Store,3324.05,5,0.069,15473.45,0.277,4286.15,0.058,14575.99
2021-01-14,2021,1,1,3,South,Sports,Yoga Mat,Wholesale,1730.26,4,0.176,5702.94,0.297,1693.77,0.074,5280.92
2021-01-15,2021,1,1,4,North,Sports,Cricket Bat,Retail Store,2384.68,8,0.024,18619.58,0.338,6293.42,0.023,18191.33
2021-01-15,2021,1,1,4,South,Home & Kitchen,Mixer,Retail Store,4006.76,11,0.07,40989.15,0.262,10739.16,0.046,39103.65
2021-01-15,2021,1,1,4,South,Groceries,Cooking Oil,Retail Store,300.27,5,0.037,1445.8,0.152,219.76,0.043,1383.63
2021-01-16,2021,1,1,5,West,Home & Kitchen,Cookware Set,Online,3383.43,9,0.114,26979.47,0.14,3777.13,0.053,25549.56
2021-01-17,2021,1,1,6,West,Home & Kitchen,Bedsheet,Retail Store,4799.7,7,0.038,32321.18,0.122,3943.18,0.007,32094.93
2021-01-17,2021,1,1,6,West,Clothing,Jacket,Online,1215.3,8,0.14,8361.26,0.115,961.54,0.014,8244.2
2021-01-17,2021,1,1,6,East,Clothing,Jacket,Wholesale,1606.57,11,0.2,14137.82,0.211,2983.08,0.046,13487.48
2021-01-18,2021,1,1,0,West,Home & Kitchen,Bedsheet,Online,3675.36,5,0.138,15840.8,0.242,3833.47,0.071,14716.1
2021-01-18,2021,1,1,0,North,Home & Kitchen,Bedsheet,Online,3802.78,3,0.148,9719.91,0.175,1700.98,0.018,9544.95
2021-01-18,2021,1,1,0,South,Groceries,Pulses,Retail Store,211.89,4,0.022,828.91,0.107,88.69,0.059,780.0
2021-01-19,2021,1,1,1,West,Clothing,Jeans,Wholesale,1249.29,7,0.188,7100.96,0.18,1278.17,0.02,6958.94
2021-01-19,2021,1,1,1,North,Home & Kitchen,Curtains,Online,3864.81,5,0.091,17565.56,0.139,2441.61,0.079,16177.88
2021-01-19,2021,1,1,1,West,Sports,Cycle,Retail Store,2104.65,4,0.058,7930.32,0.15,1189.55,0.066,7406.92
2021-01-19,2021,1,1,1,West,Electronics,Headphones,Retail Store,24646.01,2,0.072,45742.99,0.165,7547.59,0.003,45605.76
2021-01-19,2021,1,1,1,East,Sports,Cycle,Online,2102.62,7,0.106,13158.2,0.319,4197.47,0.01,13026.62
2021-01-19,2021,1,1,1,South,Groceries,Pulses,Wholesale,312.02,10,0.171,2586.65,0.276,713.92,0.002,2581.48
2021-01-20,2021,1,1,2,West,Groceries,Pulses,Online,221.47,5,0.148,943.46,0.156,147.18,0.053,893.46
2021-01-20,2021,1,1,2,East,Home & Kitchen,Water Purifier,Online,4285.0,7,0.129,26125.65,0.198,5172.88,0.011,25838.27
2021-01-20,2021,1,1,2,South,Home & Kitchen,Water Purifier,Wholesale,4771.76,8,0.158,32142.58,0.185,5946.38,0.075,29731.89
2021-01-20,2021,1,1,2,East,Home & Kitchen,Mixer,Wholesale,3754.25,5,0.158,15805.39,0.305,4820.64,0.08,14540.96
2021-01-21,2021,1,1,3,South,Home & Kitchen,Water Purifier,Wholesale,4556.59,9,0.196,32971.49,0.347,11441.11,0.071,30630.51
2021-01-21,2021,1,1,3,South,Electronics,Camera,Wholesale,22612.52,12,0.201,216808.84,0.121,26233.87,0.017,213123.09
2021-01-21,2021,1,1,3,North,Home & Kitchen,Cookware Set,Retail Store,3822.63,12,0.031,44449.54,0.159,7067.48,0.032,43027.15
2021-01-21,2021,1,1,3,West,Home & Kitchen,Curtains,Retail Store,3142.86,13,0.036,39386.32,0.145,5711.02,0.072,36550.5
2021-01-22,2021,1,1,4,South,Home & Kitchen,Bedsheet,Wholesale,3106.25,4,0.192,10039.4,0.248,2489.77,0.065,9386.84
2021-01-22,2021,1,1,4,West,Home & Kitchen,Curtains,Retail Store,3645.96,9,0.078,30254.18,0.216,6534.9,0.068,28196.9
2021-01-22,2021,1,1,4,North,Electronics,Laptop,Retail Store,34256.1,9,0.031,298747.45,0.233,69608.16,0.025,291278.76
2021-01-22,2021,1,1,4,North,Groceries,Cooking Oil,Wholesale,304.17,13,0.17,3281.99,0.346,1135.57,0.053,3108.04
2021-01-23,2021,1,1,5,East,Clothing,Dress,Wholesale,981.31,5,0.19,3974.31,0.273,1084.99,0.054,3759.7
2021-01-24,2021,1,1,6,East,Groceries,Cooking Oil,Online,366.1,6,0.114,1946.19,0.347,675.33,0.004,1938.41
2021-01-24,2021,1,1,6,East,Clothing,Jeans,Wholesale,1562.12,6,0.196,7535.67,0.216,1627.7,0.057,7106.14
2021-01-24,2021,1,1,6,South,Sports,Dumbbells,Retail Store,2718.67,5,0.032,13158.36,0.257,3381.7,0.078,12132.01
2021-01-25,2021,1,1,0,East,Groceries,Cooking Oil,Retail Store,224.09,11,0.036,2376.25,0.315,748.52,0.006,2361.99
2021-01-25,2021,1,1,0,South,Clothing,Jacket,Wholesale,1620.4,7,0.162,9505.27,0.202,1920.06,0.004,9467.25
2021-01-25,2021,1,1,0,North,Clothing,Jeans,Online,918.15,12,0.112,9783.81,0.105,1027.3,0.008,9705.54
2021-01-26,2021,1,1,1,South,Electronics,Tablet,Retail Store,27758.19,6,0.038,160220.27,0.263,42137.93,0.026,156054.54
2021-01-26,2021,1,1,1,West,Electronics,Tablet,Online,24798.47,8,0.111,176366.72,0.225,39682.51,0.037,169841.15
2021-01-27,2021,1,1,2,East,Home & Kitchen,Curtains,Retail Store,2519.68,10,0.077,23256.65,0.208,4837.38,0.016,22884.54
2021-01-28,2021,1,1,3,South,Groceries,Flour,Wholesale,398.45,7,0.175,2301.05,0.301,692.62,0.008,2282.64
2021-01-28,2021,1,1,3,South,Electronics,Headphones,Retail Store,25452.61,9,0.079,210976.68,0.189,39874.59,0.036,203381.52
2021-01-28,2021,1,1,3,East,Groceries,Flour,Wholesale,378.1,6,0.202,1810.34,0.155,280.6,0.008,1795.86
2021-01-28,2021,1,1,3,South,Electronics,Camera,Online,24711.97,3,0.107,66203.37,0.262,17345.28,0.029,64283.47
2021-01-29,2021,1,1,4,West,Electronics,Smartphone,Online,24550.28,8,0.149,167138.31,0.251,41951.72,0.029,162291.3
2021-01-29,2021,1,1,4,South,Electronics,Laptop,Wholesale,29983.93,10,0.203,238971.92,0.19,45404.66,0.05,227023.32
2021-01-29,2021,1,1,4,East,Electronics,Headphones,Retail Store,24632.97,5,0.06,115774.96,0.311,36006.01,0.061,108712.69
2021-01-30,2021,1,1,5,East,Groceries,Rice,Retail Store,368.69,11,0.067,3783.87,0.137,518.39,0.006,3761.17
2021-01-30,2021,1,1,5,North,Groceries,Cooking Oil,Retail Store,227.55,9,0.025,1996.75,0.105,209.66,0.034,1928.86
2021-01-30,2021,1,1,5,West,Home & Kitchen,Mixer,Online,3737.37,13,0.104,43532.89,0.252,10970.29,0.073,40354.99
2021-01-30,2021,1,1,5,South,Groceries,Flour,Online,384.22,7,0.125,2353.35,0.234,550.68,0.075,2176.85
2021-01-31,2021,1,1,6,West,Clothing,Jacket,Retail Store,873.72,7,0.047,5828.59,0.264,1538.75,0.027,5671.22
2021-01-31,2021,1,1,6,South,Groceries,Pulses,Online,342.06,6,0.106,1834.81,0.217,398.15,0.062,1721.05
2021-01-31,2021,1,1,6,East,Clothing,Shoes,Retail Store,1265.93,6,0.076,7018.32,0.259,1817.74,0.026,6835.84
2021-02-01,2021,2,1,0,North,Electronics,Camera,Retail Store,18859.15,12,0.037,217936.34,0.23,50125.36,0.031,211180.31
2021-02-01,2021,2,1,0,South,Clothing,T-Shirt,Wholesale,1395.63,6,0.167,6975.36,0.293,2043.78,0.006,6933.51
2021-02-01,2021,2,1,0,South,Electronics,Tablet,Retail Store,24026.78,3,0.028,70062.09,0.227,15904.09,0.019,68730.91
2021-02-01,2021,2,1,0,North,Clothing,Jacket,Wholesale,1279.7,9,0.205,9156.25,0.141,1291.03,0.045,8744.22
2021-02-01,2021,2,1,0,North,Home & Kitchen,Cookware Set,Wholesale,4713.82,12,0.163,47345.61,0.233,11031.53,0.008,46966.85
2021-02-02,2021,2,1,1,West,Electronics,Laptop,Retail Store,20049.11,5,0.067,93529.1,0.225,21044.05,0.017,91939.11
2021-02-02,2021,2,1,1,West,Electronics,Laptop,Online,30333.01,11,0.114,295625.52,0.158,46708.83,0.027,287643.63
2021-02-02,2021,2,1,1,South,Home & Kitchen,Curtains,Online,4602.62,9,0.13,36038.51,0.173,6234.66,0.039,34633.01
2021-02-02,2021,2,1,1,East,Groceries,Rice,Online,361.84,6,0.119,1912.69,0.181,346.2,0.074,1771.15
2021-02-02,2021,2,1,1,South,Groceries,Rice,Online,266.6,6,0.132,1388.45,0.192,266.58,0.035,1339.85
2021-02-03,2021,2,1,2,South,Clothing,Jacket,Retail Store,1263.74,6,0.075,7013.76,0.193,1353.66,0.06,6592.93
2021-02-05,2021,2,1,4,East,Clothing,Shoes,Wholesale,1004.66,5,0.19,4068.87,0.133,541.16,0.019,3991.56
2021-02-06,2021,2,1,5,South,Electronics,Laptop,Retail Store,22653.09,7,0.064,148423.05,0.156,23154.0,0.047,141447.17
2021-02-06,2021,2,1,5,North,Clothing,Jeans,Wholesale,886.61,5,0.154,3750.36,0.154,577.56,0.01,3712.86
2021-02-08,2021,2,1,0,West,Sports,Yoga Mat,Wholesale,2778.03,9,0.179,20526.86,0.189,3879.58,0.022,20075.27
2021-02-08,2021,2,1,0,East,Electronics,Smartphone,Retail Store,29284.86,5,0.025,142763.69,0.211,30123.14,0.068,133055.76
2021-02-08,2021,2,1,0,West,Electronics,Headphones,Wholesale,18233.52,10,0.174,150608.88,0.288,43375.36,0.043,144132.7
2021-02-09,2021,2,1,1,South,Clothing,Jacket,Retail Store,1206.18,7,0.056,7970.44,0.117,932.54,0.059,7500.18
2021-02-09,2021,2,1,1,North,Groceries,Flour,Online,342.69,7,0.116,2120.57,0.322,682.82,0.028,2061.19
2021-02-09,2021,2,1,1,North,Groceries,Cooking Oil,Wholesale,412.82,6,0.159,2083.09,0.115,239.56,0.062,1953.94
2021-02-09,2021,2,1,1,West,Sports,Cricket Bat,Online,2451.53,7,0.099,15461.8,0.132,2040.96,0.001,15446.34
2021-02-09,2021,2,1,1,South,Clothing,Jeans,Online,1635.11,8,0.093,11864.36,0.318,3772.87,0.054,11223.68
2021-02-09,2021,2,1,1,West,Groceries,Sugar,Wholesale,307.05,4,0.178,1009.58,0.222,224.13,0.002,1007.56
2021-02-10,2021,2,1,2,West,Home & Kitchen,Mixer,Retail Store,3315.88,7,0.03,22514.83,0.284,6394.21,0.069,20961.31
2021-02-10,2021,2,1,2,East,Home & Kitchen,Water Purifier,Wholesale,4152.62,8,0.2,26576.77,0.179,4757.24,0.039,25540.28
2021-02-11,2021,2,1,3,East,Groceries,Flour,Retail Store,406.4,4,0.061,1526.44,0.267,407.56,0.075,1411.96
2021-02-11,2021,2,1,3,South,Electronics,Smartphone,Wholesale,19205.12,1,0.163,16074.69,0.103,1655.69,0.029,15608.52
2021-02-11,2021,2,1,3,South,Clothing,Jeans,Retail Store,892.33,8,0.045,6817.4,0.307,2092.94,0.059,6415.17
2021-02-12,2021,2,1,4,South,Groceries,Rice,Online,305.09,2,0.092,554.04,0.296,164.0,0.004,551.82
2021-02-12,2021,2,1,4,West,Home & Kitchen,Curtains,Wholesale,3669.48,5,0.189,14879.74,0.112,1666.53,0.03,14433.35
2021-02-12,2021,2,1,4,West,Groceries,Cooking Oil,Online,253.0,8,0.133,1754.81,0.144,252.69,0.053,1661.81
2021-02-12,2021,2,1,4,East,Sports,Cricket Bat,Online,1616.24,3,0.109,4320.21,0.269,1162.14,0.048,4112.84
2021-02-12,2021,2,1,4,South,Home & Kitchen,Cookware Set,Wholesale,3286.26,7,0.162,19277.2,0.275,5301.23,0.068,17966.35
2021-02-12,2021,2,1,4,North,Sports,Cycle,Wholesale,1897.6,6,0.161,9552.52,0.206,1967.82,0.009,9466.55
2021-02-12,2021,2,1,4,South,Home & Kitchen,Mixer,Retail Store,2464.87,4,0.078,9090.44,0.248,2254.43,0.058,8563.19
2021-02-13,2021,2,1,5,South,Clothing,Jacket,Wholesale,1048.53,6,0.18,5158.77,0.219,1129.77,0.005,5132.98
2021-02-13,2021,2,1,5,West,Electronics,Headphones,Retail Store,32654.6,10,0.046,311524.88,0.283,88161.54,0.049,296260.16
2021-02-13,2021,2,1,5,North,Electronics,Headphones,Online,24153.25,2,0.097,43620.77,0.238,10381.74,0.056,41178.01
2021-02-13,2021,2,1,5,East,Clothing,T-Shirt,Online,1457.78,9,0.09,11939.22,0.346,4130.97,0.078,11007.96
2021-02-14,2021,2,1,6,South,Electronics,Headphones,Wholesale,29059.32,8,0.153,196905.95,0.337,66357.31,0.051,186863.75
2021-02-14,2021,2,1,6,South,Clothing,Jeans,Online,1638.85,6,0.095,8898.96,0.257,2287.03,0.008,8827.77
2021-02-14,2021,2,1,6,North,Clothing,Shoes,Retail Store,1039.11,7,0.043,6961.0,0.274,1907.31,0.065,6508.54
2021-02-15,2021,2,1,0,South,Groceries,Rice,Retail Store,367.72,6,0.054,2087.18,0.246,513.45,0.017,2051.7
2021-02-16,2021,2,1,1,East,Home & Kitchen,Water Purifier,Online,4878.88,5,0.115,21589.04,0.341,7361.86,0.048,20552.77
2021-02-16,2021,2,1,1,South,Groceries,Flour,Retail Store,269.57,9,0.03,2353.35,0.1,235.34,0.048,2240.39
2021-02-17,2021,2,1,2,South,Electronics,Tablet,Retail Store,34261.94,2,0.023,66947.83,0.139,9305.75,0.029,65006.34
2021-02-17,2021,2,1,2,East,Sports,Dumbbells,Online,1631.4,13,0.098,19129.8,0.338,6465.87,0.06,17982.01
2021-02-17,2021,2,1,2,South,Clothing,Jacket,Wholesale,1338.08,6,0.195,6462.93,0.17,1098.7,0.002,6450.0
2021-02-17,2021,2,1,2,East,Groceries,Sugar,Online,220.73,9,0.125,1738.25,0.33,573.62,0.013,1715.65
2021-02-17,2021,2,1,2,North,Electronics,Tablet,Wholesale,27068.22,9,0.203,194160.34,0.298,57859.78,0.002,193772.02
2021-02-17,2021,2,1,2,East,Home & Kitchen,Cookware Set,Retail Store,2590.44,11,0.037,27440.53,0.332,9110.26,0.077,25327.61
2021-02-19,2021,2,1,4,South,Electronics,Smartphone,Wholesale,22141.24,6,0.2,106277.95,0.18,19130.03,0.064,99476.16
2021-02-19,2021,2,1,4,West,Electronics,Smartphone,Wholesale,23493.27,5,0.183,95970.01,0.193,18522.21,0.063,89923.9
2021-02-19,2021,2,1,4,West,Home & Kitchen,Cookware Set,Wholesale,2747.47,5,0.206,10907.46,0.239,2606.88,0.074,10100.31
2021-02-19,2021,2,1,4,East,Home & Kitchen,Bedsheet,Online,2806.45,7,0.096,17759.22,0.261,4635.16,0.014,17510.59
2021-02-20,2021,2,1,5,South,Groceries,Sugar,Wholesale,218.84,5,0.175,902.72,0.32,288.87,0.076,834.11
2021-02-20,2021,2,1,5,East,Sports,Cricket Bat,Wholesale,1811.38,7,0.188,10295.88,0.128,1317.87,0.037,9914.93
2021-02-21,2021,2,1,6,East,Sports,Football,Wholesale,1776.39,11,0.168,16257.52,0.211,3430.34,0.002,16225.0
2021-02-21,2021,2,1,6,South,Home & Kitchen,Curtains,Online,3450.63,6,0.099,18654.11,0.204,3805.44,0.05,17721.4
2021-02-21,2021,2,1,6,West,Sports,Football,Online,2540.19,4,0.128,8860.18,0.315,2790.96,0.073,8213.39
2021-02-21,2021,2,1,6,South,Home & Kitchen,Water Purifier,Wholesale,2580.77,3,0.184,6317.72,0.341,2154.34,0.07,5875.48
2021-02-22,2021,2,1,0,West,Groceries,Flour,Retail Store,399.58,11,0.065,4109.68,0.166,682.21,0.046,3920.63
2021-02-22,2021,2,1,0,East,Sports,Dumbbells,Retail Store,2083.54,10,0.046,19876.97,0.164,3259.82,0.067,18545.21
2021-02-23,2021,2,1,1,South,Groceries,Pulses,Retail Store,417.66,5,0.08,1921.24,0.24,461.1,0.07,1786.75
2021-02-23,2021,2,1,1,East,Electronics,Tablet,Online,33322.86,3,0.149,85073.26,0.247,21013.1,0.021,83286.72
2021-02-23,2021,2,1,1,West,Sports,Cricket Bat,Online,2304.41,6,0.116,12222.59,0.217,2652.3,0.056,11538.12
2021-02-23,2021,2,1,1,West,Groceries,Rice,Wholesale,311.85,8,0.201,1993.35,0.249,496.34,0.046,1901.66
2021-02-24,2021,2,1,2,North,Home & Kitchen,Curtains,Retail Store,3469.67,4,0.036,13379.05,0.142,1899.83,0.01,13245.26
2021-02-24,2021,2,1,2,South,Clothing,T-Shirt,Retail Store,1122.99,6,0.065,6299.97,0.271,1707.29,0.032,6098.37
2021-02-24,2021,2,1,2,West,Electronics,Smartphone,Wholesale,26759.58,4,0.179,87878.46,0.103,9051.48,0.009,87087.55
2021-02-24,2021,2,1,2,West,Groceries,Pulses,Wholesale,253.24,7,0.185,1444.73,0.255,368.41,0.063,1353.71
2021-02-25,2021,2,1,3,North,Home & Kitchen,Cookware Set,Retail Store,4512.98,6,0.036,26103.08,0.19,4959.59,0.007,25920.36
2021-02-25,2021,2,1,3,West,Clothing,Dress,Retail Store,1296.02,7,0.057,8555.03,0.305,2609.28,0.023,8358.26
2021-02-25,2021,2,1,3,East,Home & Kitchen,Mixer,Retail Store,4027.9,8,0.075,29806.46,0.311,9269.81,0.047,28405.56
2021-02-26,2021,2,1,4,South,Groceries,Sugar,Retail Store,319.54,3,0.029,930.82,0.206,191.75,0.064,871.25
2021-02-27,2021,2,1,5,East,Electronics,Headphones,Online,22073.33,3,0.107,59134.45,0.284,16794.18,0.002,59016.18
2021-02-27,2021,2,1,5,North,Clothing,Jacket,Retail Store,1236.37,6,0.056,7002.8,0.291,2037.81,0.077,6463.58
2021-02-28,2021,2,1,6,East,Groceries,Cooking Oil,Wholesale,372.87,3,0.171,927.33,0.158,146.52,0.077,855.93
2021-02-28,2021,2,1,6,North,Groceries,Rice,Retail Store,258.32,6,0.053,1467.77,0.252,369.88,0.049,1395.85
2021-03-01,2021,3,1,0,South,Clothing,Shoes,Wholesale,1621.96,4,0.152,5501.69,0.248,1364.42,0.077,5078.06
2021-03-01,2021,3,1,0,South,Clothing,Jacket,Wholesale,933.24,7,0.192,5278.41,0.113,596.46,0.006,5246.74
2021-03-02,2021,3,1,1,East,Clothing,Jeans,Retail Store,1256.67,3,0.045,3600.36,0.111,399.64,0.047,3431.14
2021-03-02,2021,3,1,1,East,Home & Kitchen,Curtains,Retail Store,3127.21,5,0.023,15276.42,0.252,3849.66,0.057,14405.66
2021-03-03,2021,3,1,2,South,Groceries,Cooking Oil,Online,296.72,7,0.098,1873.49,0.345,646.35,0.036,1806.04
2021-03-04,2021,3,1,3,West,Sports,Dumbbells,Retail Store,1724.19,4,0.021,6751.93,0.102,688.7,0.049,6421.09
2021-03-05,2021,3,1,4,South,Groceries,Rice,Retail Store,343.78,8,0.033,2659.48,0.21,558.49,0.063,2491.93
2021-03-05,2021,3,1,4,South,Groceries,Rice,Retail Store,290.47,8,0.054,2198.28,0.334,734.23,0.048,2092.76
2021-03-06,2021,3,1,5,North,Groceries,Flour,Retail Store,368.18,8,0.035,2842.35,0.326,926.61,0.009,2816.77
2021-03-06,2021,3,1,5,West,Electronics,Tablet,Retail Store,28797.54,7,0.073,186867.24,0.251,46903.68,0.055,176589.54
2021-03-06,2021,3,1,5,East,Electronics,Smartphone,Online,20913.03,6,0.144,107409.32,0.246,26422.69,0.017,105583.36
2021-03-06,2021,3,1,5,East,Home & Kitchen,Mixer,Retail Store,3012.08,8,0.044,23036.39,0.333,7671.12,0.05,21884.57
2021-03-07,2021,3,1,6,West,Home & Kitchen,Water Purifier,Wholesale,4131.27,5,0.207,16380.49,0.33,5405.56,0.055,15479.56
2021-03-07,2021,3,1,6,South,Clothing,Jacket,Wholesale,1460.36,9,0.202,10488.31,0.199,2087.17,0.021,10268.06
2021-03-07,2021,3,1,6,East,Sports,Dumbbells,Retail Store,2118.06,5,0.069,9859.57,0.141,1390.2,0.038,9484.91
2021-03-08,2021,3,1,0,South,Home & Kitchen,Mixer,Online,3237.44,10,0.138,27906.73,0.302,8427.83,0.031,27041.62
2021-03-08,2021,3,1,0,South,Sports,Yoga Mat,Online,1878.7,12,0.096,20380.14,0.15,3057.02,0.072,18912.77
2021-03-08,2021,3,1,0,East,Home & Kitchen,Mixer,Wholesale,3425.21,10,0.157,28874.52,0.161,4648.8,0.024,28181.53
2021-03-08,2021,3,1,0,East,Home & Kitchen,Bedsheet,Wholesale,4100.45,5,0.154,17344.9,0.147,2549.7,0.033,16772.52
2021-03-09,2021,3,1,1,West,Electronics,Headphones,Wholesale,27733.69,6,0.197,133620.92,0.136,18172.45,0.075,123599.35
2021-03-09,2021,3,1,1,East,Electronics,Smartphone,Wholesale,32636.95,6,0.2,156657.36,0.285,44647.35,0.074,145064.72
2021-03-09,2021,3,1,1,South,Sports,Yoga Mat,Wholesale,1891.33,3,0.151,4817.22,0.274,1319.92,0.05,4576.36
2021-03-09,2021,3,1,1,North,Home & Kitchen,Mixer,Retail Store,4767.06,7,0.043,31934.53,0.133,4247.29,0.07,29699.11
2021-03-09,2021,3,1,1,South,Groceries,Rice,Online,224.07,6,0.144,1150.82,0.301,346.4,0.005,1145.07
2021-03-10,2021,3,1,2,South,Home & Kitchen,Mixer,Wholesale,3994.99,7,0.176,23043.1,0.296,6820.76,0.075,21314.87
2021-03-10,2021,3,1,2,East,Clothing,T-Shirt,Retail Store,990.67,7,0.036,6685.04,0.172,1149.83,0.053,6330.73
2021-03-11,2021,3,1,3,East,Electronics,Headphones,Online,23661.07,7,0.099,149230.37,0.162,24175.32,0.074,138187.32
2021-03-11,2021,3,1,3,North,Electronics,Laptop,Retail Store,21120.26,8,0.045,161358.79,0.157,25333.33,0.016,158777.05
2021-03-11,2021,3,1,3,East,Groceries,Pulses,Retail Store,219.07,2,0.069,407.91,0.301,122.78,0.027,396.9
2021-03-11,2021,3,1,3,East,Sports,Dumbbells,Retail Store,2766.62,3,0.069,7727.17,0.257,1985.88,0.063,7240.36
2021-03-11,2021,3,1,3,North,Clothing,Dress,Retail Store,1098.55,5,0.05,5218.11,0.33,1721.98,0.045,4983.3
2021-03-12,2021,3,1,4,East,Electronics,Smartphone,Retail Store,27732.28,6,0.043,159238.75,0.333,53026.5,0.018,156372.45
2021-03-12,2021,3,1,4,East,Sports,Cricket Bat,Wholesale,2612.66,6,0.2,12540.77,0.268,3360.93,0.072,11637.83
